title,details,type,type_id,host,date,time,location,link
Navigate Your First Job in Creative Industries,"WIN A $250 APPLE GIFT CARD!  DEMAN is teaming up with The Chronicle to raffle off a $250 Apple gift card! Register for and attend our Navigate Your First Job in Creative Industries event for your chance to win. All Duke students are eligible!Duke students! Are you looking for a job in creative industries after Duke? Hoping to secure an internship this summer?We’re here for you! Join DEMAN Live and Duke Career Center on February 24 for Navigate Your First Job in Creative Industries, a special virtual panel with an all-star lineup of recent Duke graduates.Meet Dukies working across the country in creative careers, including film, digital media, tech, sports, and higher ed. They’ll share their career paths, helpful Duke experiences and offer advice for students and alumni looking to break into these industries, as well as answer your burning questions.Moderated by Nina Wilder '20, Duke Arts Administration Fellow, our panel will feature:Marielle Rogers '18, Xbox Strategy, MicrosoftChaz Hawkins  '17, Writer, Director & Producer (Feat. on The Black List 2020)Jesse Dembo '16, Associate Manager, Global Partnerships (Latin America), NBAMarina Poole '17, Junior Editor, MasterClassBryce Cracknell '18, Associate Impact Producer, Participant MediaJorge “Tajj” Badil-Abish '16, Copywriter, Goodby Silverstein & PartnersAlexandra Bratton '17, Coordinator, Partner Marketing, Content Distribution, NBCUniversalRegister for this session here:",Panel/Seminar/Colloquim,5,Career Center,"Wed, Feb 24, 2021",8 PM – 9 PM EST (GMT-5),Online,https://dukegroups.com/events/rsvp?id=999527
Navigating Career Uncertainty,"For students going on the job market this year, it can be a confusing time filled with uncertainty and many changes. Join the Duke University Career Center and a panel of Duke alumni to hear how others have navigated times of unexpected career transitions and tips for how to approach a job search this year.Panelists:Dr. Sarah Taylor Ellis, T'08- Freelance Composer, Tutor and Teaching ArtistCristian Liu, E'08- Head of Strategy & Partnership Solutions, Health Business Development, GoogleMichael Quigley, PhD'08- Senior Vice President of Research Biology, GileadRobyn-Ashley Taylor, T'08- General Counsel, Noble Network of Charter Schools.",Panel/Seminar/Colloquim,5,Career Center,"Wed, Feb 24, 2021",4 PM – 5:30 PM EST (GMT-5),Online,https://dukegroups.com/events/rsvp?id=992405
Policy for the People Presents: Alternatives to Policing,"Panel discussion featuring Nia Wilson, Jamie Tindal, Cameron Rasmussen, Kirk ""Jae"" James, and Ash Stephens",Panel/Seminar/Colloquim,5,Policy for the People,"Mon, Feb 22, 2021",12 PM – 1:15 PM EST (GMT-5),Zoom,https://dukegroups.com/events/rsvp?id=1025229
Free Speech in Higher Education: A conversation with Dean Sue,Join us for a conversation featuring Dean Sue on the current state of free speech in higher education and where it should go in the future.,Panel/Seminar/Colloquim,5,Duke Inside Education,"Thu, Feb 18, 2021",7 PM – 8 PM EST (GMT-5),Zoom,https://dukegroups.com/events/rsvp?id=992915
From the Field - Food Access Policy,The role of white supremacy and race in food access policy.,Panel/Seminar/Colloquim,5,Policy for the People,"Thu, Feb 18, 2021",6 PM – 7 PM EST (GMT-5),Zoom,https://dukegroups.com/events/rsvp?id=1018915
"Piloting Your Career in Washington, D.C. - Navigating Uncertainty in the Job Search","Finding your first job or internship can be daunting. How can I start building my network, learn about an industry that is new to me, or apply for a position with an unclear application process? While certain industries can have less structured recruiting timelines, it doesn’t mean you should shy away from a career path that speaks to your interests.During this event, a panel of career professionals will share advice on job searching in Washington, DC and what you can expect. This event will include tips for virtual networking and informational interviews, as well as instructions on how to best utilize the Duke Alumni Network and Duke DC LinkedIn to get to know alums in specific industries..",Panel/Seminar/Colloquim,5,Career Center,"Tue, Feb 16, 2021",5 PM – 6 PM EST (GMT-5),Online,https://dukegroups.com/events/rsvp?id=950432
StartupConnect Panel: Prepare for Virtual Networking,"Interested in working or interning for a startup? In this industry panel, you’ll gain information and tools to network virtually with startup representatives. Industry panelists will share what roles they’re hiring for, what they look for when hiring, and what it’s really like working for a startup. While this panel was designed to prepare students for the February 18 StartupConnect Networking Fair, registration for that event is not required to attend this one.Panelists:Milagros Joye Brown Founder at After November, T'01Alcide Honore Co-founder/CEO of Billseye, T'00Ryan Carey Founder at BetterOnHelena Merk, Founder at Glimpse, attended Duke 2017-18 in CSTo register, visit this link: https://duke.qualtrics.com/jfe/form/SV_cYM8nKTEZNFeWjP",Panel/Seminar/Colloquim,5,Career Center,"Thu, Feb 11, 2021",6 PM – 7 PM EST (GMT-5),Online,https://dukegroups.com/events/rsvp?id=943149
RecTalks | Anti-Racism in Recreation & Sport,"Campus Recreation programs across the country are evaluating their role in the advancement of social justice. Join our panelist of professionals to discuss the work being done within our departments, facilities, and programs to build awareness and make positive change towards social and racial equity in campus recreation..ABOUT RECTALKSRecTalks are informative and influential discussions with experts in their industries of sport, recreation, physical education and wellness. Hosted by Duke Recreation and Physical Education, our goal is to provide our community with resources and information that promotes the physical, environmental, and mental wellbeing of our university community.FUTURE RECTALK TOPICSNutritionLeadership in Recreation & SportsTechnology",Panel/Seminar/Colloquim,5,Duke Rec & PE,"Wed, Feb 10, 2021",7 PM – 8 PM EST (GMT-5),Zoom,https://dukegroups.com/events/rsvp?id=989093
Other Careers in Healthcare Panel,"If you're considering a career in healthcare but aren't sure whether medical school is right for you, join us for our virtual panel about other careers in healthcare. The panel will feature a pharmacy resident, physical therapist, dentist, occupational therapist, physician assistant, and nurse practitioner. The panel provides a unique opportunity to engage in conversation with professionals from several health disciplines and hear about their work. In addition, the panelists will talk about the paths you can take to pursue these professions and how Duke University itself offers numerous programs in these disciplines. Come on out and explore the various practices in healthcare available outside the scope of medical school!",Panel/Seminar/Colloquim,5,Duke Pre-Pharmacy Union,"Tue, Feb 9, 2021",6 PM – 7 PM EST (GMT-5),-,https://dukegroups.com/events/rsvp?id=1000171
Exploring Careers Across Industries: Technology,"Join us for an opportunity to connect with technology industry professionals (most of them Duke Alumni) to learn about the state of the industry and emerging trends, types of organizations/employers and what tech and non-tech roles exist, all while you explore career paths that align with your interests, skills and values.Registration and Zoom link in.",Panel/Seminar/Colloquim,5,Career Center,"Mon, Feb 1, 2021",6 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=918786
Building a Career in the Music Industry,"Join STR and our alums who work in the music industry for a conversation about the variety of career paths that music has to offer! We aim to help you understand how your interests align with music, even if you are new to the music industry or haven't thought about working in it before!",Panel/Seminar/Colloquim,5,DUU Small Town Records,"Thu, Jan 28, 2021",7 PM – 8 PM EST (GMT-5),Zoom,https://dukegroups.com/events/rsvp?id=947541
The Syrian Civil War: A Humanitarian Crisis,"Following the Arab Spring uprisings of 2011, political dissent in Syria quickly spiraled into a violent and devastating civil conflict. Since May 2012, the United States has been directly involved in this conflict, providing military and financial intervention against the Assad regime. In the next Alexander Hamilton Society event, we will be exploring the Syrian Civil War and the associated refugee crisis while also discussing the future of American involvement in the Middle East. Join the Alexander Hamilton Society on January 28 at 6 PM ET for a panel discussion featuring Duke professors Abdullah Antepli, Miriam Cooke, and Bruce Jentleson and The Ohio State University's Peter Mansoor. Future foreign policy leaders must understand what precipitated and deepened the societal fractures in Syria to better prevent similar conflicts and crises from developing in the region.",Panel/Seminar/Colloquim,5,The Alexander Hamilton Society,"Thu, Jan 28, 2021",6 PM – 7:30 PM EST (GMT-5),Virtual,https://dukegroups.com/events/rsvp?id=936629
RecTalks | Staying Active Through a Pandemic,"The benefits of physical activity and exercise have shown to be an important element to our overall well-being. Our bodies are designed to move and we gain a multitude of benefits through physical activity. COVID-19 has impacted and challenged our lives in many different ways, including how we exercise and recreate. Join our panel of experts to discuss how we have created diverse opportunities for fitness and recreation, both in-person and at-home..ABOUT RECTALKSRecTalks are informative and influential discussions with experts in their industries of sport, recreation, physical education and wellness. Hosted by Duke Recreation and Physical Education, our goal is to provide our community with resources and information that promotes the physical, environmental, and mental wellbeing of our university community.FUTURE RECTALK TOPICSDiversity in the OutdoorsNutritionMental WellbeingDiversity in Recreation & SportsPsychology in SportsTechnology",Panel/Seminar/Colloquim,5,Duke Rec & PE,"Wed, Jan 13, 2021",7 PM – 8 PM EST (GMT-5),Private Location (register to display),https://dukegroups.com/events/rsvp?id=914437
Winter Break Career Event,"Our event coordinators created a week long event, in collaboration with the Duke Nicholas School career center. Each day, virtual guest speakers presented on a wide range of topics. The career center also put on a cover letter workshop, and Nic school professors did virtual lunches with students. All those who attended an event were awarded with a $5 gift card to a local coffee shop. Those who attended morethan 3 events were entered a giveaway to get a $100 gift card.",Panel/Seminar/Colloquim,5,Nicholas Net Impact Club,"Mon, Jan 11, 2021 11:00 AM –","Thu, Jan 14, 2021 4:00 PM EST (GMT-5)",TBD,https://dukegroups.com/events/rsvp?id=940876
Conversation with the CEO of NAMI (National Alliance on Mental Illness),"┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡┬¡Join the Office of Community Engagement and Inclusion with Duke's Fuqua School of Business and DuWell with Duke Student Affairs for a conversation with the CEO of NAMI* (National Alliance on Mental Illness), Dan Gillison, on Tuesday, December 8th from 6:00 to 6:45 p.m.In this fireside chat, Dan will cover topics around mental health and mental health conditions, NAMI initiatives dedicated to decreasing stigma and increasing awareness, and ways to support the mental health of members of the Duke community, particularly those that are part of marginalized communities.Dan will also discuss the necessity for leaders to create an inclusive environment in which mental health is a priority.  He will do a deep dive into the importance of providing the tools and support employees need (and what those tools and support look like) to thrive in their professional and personal lives.For more information and to register, please go to the following link: https://bit.ly/NAMI_at_Duke.",Panel/Seminar/Colloquim,5,Student Wellness Center,"Tue, Dec 8, 2020",6 PM – 7 PM EST (GMT-5),Zoom Link: Post Registration,https://dukegroups.com/events/rsvp?id=899467
RecTalks | The Power of the Outdoors,"There is truly something to be said about the power of the outdoors and what it can do for us both physically and mentally. For many it can give us a sense of belonging, a sense of gratitude, and a sense of healing. However, access to outdoor spaces looks different for many people and has changed significantly due to COVID. Join us as we discuss the Power of the Outdoors and explore how we can use the outdoors to fight the impacts of stress and isolation, while working to be better advocates for our natural world and access to these spaces..ABOUT RECTALKSRecTalks are informative and influential discussions with experts in their industries of sport, recreation, physical education and wellness. Hosted by Duke Recreation and Physical Education, our goal is to provide our community with resources and information that promotes the physical, environmental, and mental wellbeing of our university community.FUTURE RECTALK TOPICSNutritionMental WellbeingDiversity in Recreation & SportsPsychology in SportsTechnology",Panel/Seminar/Colloquim,5,Duke Rec & PE,"Wed, Nov 18, 2020",7 PM – 8 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=888532
"Mental Health at Duke: Past, Present, and Future","A panel discussion featuring representatives from Tiarra Wade from DukeReach,",Panel/Seminar/Colloquim,5,National Alliance on Mental Illness (NAMI) on Campus at Duke University,"Tue, Nov 10, 2020",6 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=881263
"Law School Panel with UNC, Michigan, Vanderbilt, and Boston College","Bench and Bar will be hosting a Zoom information session with law school admissions officers from UNC, University of Michigan, Vanderbilt, and Boston College! Come join us to learn about a wide variety of law schools and ask any questions you may have about preparing for law school and the admissions process. The event will take place on Monday November 29th from 7-8PM.",Panel/Seminar/Colloquim,5,Bench and Bar Pre-Law Society,"Mon, Nov 29, 2021",7 PM – 8 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=1395299
Antisemitism 101,"Antisemitism 101 is a chance for any Duke student of any background to learn about and grapple with antisemitism and Jew hatred in all its forms. We'll cover what Judaism is, the history of antisemitism, and look at how antisemitism manifests today. All Duke students are welcome for this introductory session, hosted by┬áJewish Life at Duke.",Panel/Seminar/Colloquim,5,Jewish Life at Duke,"Mon, Nov 29, 2021",3:30 PM – 5:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1390741
DIIG General Meeting,End of semester meeting with a speaker panel,Panel/Seminar/Colloquim,5,Duke Impact Investing Group,"Sun, Nov 21, 2021",1:30 PM – 3 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1387515
QuadEx Info Session,Have questions about QuadEx? Join this first info session for undergraduate students to hear the latest plans and details about QuadEx and ask questions directly to SA leaders and HRL team members.,Panel/Seminar/Colloquim,5,Division of Student Affairs,"Wed, Nov 17, 2021",7 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1387232
Talk with the Duke Law Admissions,"Mark Hill, who is the senior director of Duke Law admissions, will talk about the law school application process. He will give a few tips to help students prepare for law school applications and meanwhile demystify some common misconceptions. More importantly, he will give an introduction to Duke Law School to current Duke undergrads, including the dual degree program and Pro Bono program. For people who consider Duke Law and want to become Double Dukies, we would highly recommend you to attend this event! The session includes a Q&A session, you can ask any questions relating to law school!",Panel/Seminar/Colloquim,5,Bench and Bar Pre-Law Society,"Wed, Nov 17, 2021",7 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1385446
Getting Black Into It: Professional Development Symposium,"We are providing professional development opportunities including resume and LinkedIn workshops, mock interviews, and free headshots!",Panel/Seminar/Colloquim,5,Black Women's Union,"Sat, Nov 13, 2021",10 AM – 2 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1355153
Migration Policy in LAC,"The number of migrants and refugees from Venezuela has reached virtually every country in the region. In parallel, Central and North America experience mixed migration movements of people from Central America, African, Asian and Caribbean countries trying to reach the US. Governments of the region have responded in different ways. Some have adopted an open border policy, imposed increasing restrictions on the migrant's mobility, and others have put safe third country agreements.The panel will discuss the landscape of migration in LAC and the innovative policy and private sector solutions to address and mitigate the effects of migration. The conference will also discuss the role of social and humanitarian organizations to support displaced people better.Speakers:Sarah Bermeo:  Political economist, associate professor of public policy and political science in the Sanford School at Duke University and director of graduate studies for the Master of International Development Policy (MIDP) program housed in the Duke Center for International Development. Her research lies at the intersection of international relations and development, with a particular focus on foreign aid, trade agreements, migration, and the global public good.Rachel Schmidtke: Advocate for Latin America at Refugees International working on advocacy strategies responding to the Central American and Venezuelan crisis. Previously, she was a program associate at the Mexico Institute of the Woodrow Wilson International Center for Scholars developing the migration portfolio and producing policy work on Mexico, Central America, and U.S. migration, asylum, and refugee policy. Rachel received her M.A. in International Development Policy from Duke University, focusing on migration, Latin American foreign policy, and gender.Erik Wibbels: Co-Director of DevLab@Duke at Duke University. His research focuses on development, redistribution and political geography and has been published by Cambridge University Press, World Politics, International Organization, American Political Science Review and other journals. Current major projects include a USAID-funded effort to integrate machine learning, forecasting and rigorous field interventions to early-identify government crackdowns on civil society an a research with Te Conecta and RTI International on how the deportation of Guatemalans from the U.S. impacts households and communities on both sides of the border, as well as large field projects on local policing in Ghana and Guatemala.",Panel/Seminar/Colloquim,5,Sanford Latin American and Caribbean Student Group,"Tue, Nov 9, 2021",6 PM – 8 PM EST (GMT-5),Rhodes Conference Room,https://dukegroups.com/events/rsvp?id=1353685
Women in Politics Internship Panel,"Undergraduate women with a diverse background in politics will come together to give students advice for seeking out internships related to think thanks, lobbying, campaigns, and non-profits.",Panel/Seminar/Colloquim,5,Women in Politics,"Tue, Nov 9, 2021",5 PM – 6 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1357827
Duke Democrats x Jeff Jackson Town Hall,"On November 8th at 6:00 pm, the Duke Democrats Club is hosting a town hall with the Jeff Jackson for US Senate Campaign. The purpose of the town hall is to promote youth turnout in the upcoming midterm elections, create an environment where Senator Jackson can learn directly from students about critical issues, and provide the Duke community with an opportunity to engage with Senator Jackson.",Panel/Seminar/Colloquim,5,Duke Democrats,"Mon, Nov 8, 2021",6 PM – 7:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1368965
Alternative Careers in Healthcare Panel Discussion,"Medicine is an incredibly interdisciplinary field requiring teams of people who can address many aspects of patient care. Join us for a panel discussion with three women working in various realms of the medical field including nursing, volunteer services, and research. Speakers include Chelse Sanborn, a nurse practitioner at Duke Children's Hospital and Duke University School of Nursing alum; Alison Griffin, program director for Arts For Life at Duke Children's Hospital; and Dr. Sarah Wilbur, Duke Dance Department faculty and collaborator with Dementia Inclusive Durham.Food Provided (We will be providing individually wrapped insomnia cookies in a grab-and-go style.)",Panel/Seminar/Colloquim,5,American Medical Women's Association Undergraduate Chapter,"Sun, Nov 7, 2021",3 PM – 4 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1359567
Muslim Alumni Panel Discussion,"Come hang out with fellow alumni and current students, share your experiences as a Muslim at Duke and beyond, answer their questions and go out for an impromptu dinner afterward if you still have the Friday night adrenaline!",Panel/Seminar/Colloquim,5,Center for Muslim Life,"Fri, Nov 5, 2021",6 PM – 7:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1174328
Transitioning at Duke,"Join the CSGD for a panel on the medical, mental health, and social resources available to transgender students at Duke! We will have students and representatives from Student Health and CAPS available to answer questions and talk about their experience with transition-related care at Duke.",Panel/Seminar/Colloquim,5,Center for Sexual and Gender Diversity,"Thu, Oct 28, 2021",6 PM – 8:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1351452
SHPE Graduate Panel,"Come hear from a panel of graduate students from multiple disciplines to answer questions like how to apply and prepare for graduate school, what grad school life is like, and which types of fellowships are possible. Everyone is welcome to come!Food Provided (Guasaca Arepas)",Panel/Seminar/Colloquim,5,Society of Hispanic Professional Engineers,"Thu, Oct 28, 2021",5 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1571341
Sustainable Fashion,Zoom panel with professionals from the Sustainable Fashion industry,Panel/Seminar/Colloquim,5,Duke Sustainability Board,"Thu, Oct 28, 2021",3 PM – 4 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1312062
What I Wish I Knew Panel,We welcome newer graduate students to join us as our panel of senior graduate students answer questions and give advice about research and life as graduate students including their experiences as women in STEM at Duke.  Boxed dinners will be served.Food Provided (Boxed dinners from Foster's Market for those that RSVP),Panel/Seminar/Colloquim,5,Women in Science & Engineering,"Tue, Oct 26, 2021",5:30 PM – 6:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1319005
Career Night,Join the Rotaract Club of Duke University at Career Night! Career Night is an opportunity to meet and learn from a variety of professionals in a wide range of careers.,Panel/Seminar/Colloquim,5,Rotaract Club of Duke University,"Mon, Oct 25, 2021",7 PM – 9 PM EDT (GMT-4),Wilkinson 126,https://dukegroups.com/events/rsvp?id=1338849
Exploring Careers: Sustainability and the Environment,"Connect with industry professionals to learn about organizations and emerging trends and roles, explore career paths and reflect on how various careers align with interests, skills, and values while considering learning opportunities within a variety of industries.A virtual career panel for Duke undergraduates, graduate students and alumni (up to 5 years post-graduation).Registration required in HandshakeAlso be sure to attend Nic ECO Friday, October 22! For more details visit the ""Nic ECO"" event in Handshake.",Panel/Seminar/Colloquim,5,Career Center,"Thu, Oct 21, 2021",5 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1302128
CSA Career Panel,This event will invite a group of upperclassmen as panelists to present a career panel for freshmen and sophomores affiliated to CSA.,Panel/Seminar/Colloquim,5,Duke Chinese Student Association,"Wed, Oct 20, 2021",7 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1350682
Disaster & Resilience DWN Fall Symposium,"Thank you for your interest in Duke Water Network's (DWN) Fall Symposium. This year's theme of ""Disaster and Resilience"" highlights strategies that are being used to adapt and build more resilient communities in the face of water-related disasters and climate extremes.We are excited to present an opportunity for members of the Duke community to engage in the pivotal and timely discussions surrounding resiliency planning and recovery and to connect with speakers from Cape Fear Public Utility, the University of North Carolina Environmental Science Center, and the North Carolina Office of Recovery and Resiliency. A community's ability to respond and recover from disasters such as flooding and drought requires complex and interwoven policies and procedures. We wish to highlight and discuss the financial implications, legal avenues, and infrastructure preparedness required to face these challenges, and the implications they have for communitiesThe ""Disaster and Response"" Symposium will feature a morning Keynote session, an afternoon panel discussion highlighting ongoing adaptation and response strategies in North Carolina, and a networking social following the conclusion of the Symposium.",Panel/Seminar/Colloquim,5,Duke Water Network,"Fri, Oct 15, 2021",10:30 AM – 3:30 PM EDT (GMT-4),"Field Auditorium, Grainger Hall",https://dukegroups.com/events/rsvp?id=1313767
Quantum Start Up Panel,Several panelists from start-up companies around the world coming to discuss what it's like to work in quantum startups and their experiences,Panel/Seminar/Colloquim,5,Duke Undergraduate Quantum Information Society,"Fri, Oct 8, 2021",4 PM – 5 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1296045
Alexander Hamilton Society Panel on the Crisis in Afghanistan,"The human toll of the Taliban's displacement of Afghani communities has been lost in the coverage of America's withdrawal from Afghanistan. Tens of thousands of refugees are expected to reach the US in the next few weeks, and a half a million more are predicted to flee the country by the end of the year. After decades of investment, the international community remains unequipped to address the current crisis. How can the United States use its diplomatic and economic resources to provide safety to those fleeing the violence of their homeland?Join the Alexander Hamilton Society on September 30th at 6 PM ET for a panel discussion featuring the President/CEO of Lutheran Immigration and Refugee Services, Krish Vignarajah, and Duke professor and religious scholar, Abdullah Antepli.Everyone is welcome.",Panel/Seminar/Colloquim,5,The Alexander Hamilton Society,"Thu, Sep 30, 2021",6 PM – 7:30 PM EDT (GMT-4),Zoom,https://dukegroups.com/events/rsvp?id=1191388
Faculty Research Spotlight,Join us for a presentation featuring DUSON faculty highlighting their fascinating research work and learn how YOU can get involved!,Panel/Seminar/Colloquim,5,DUSON Research Club,"Thu, Sep 30, 2021",5 PM – 6 PM EDT (GMT-4),Pearson 1026,https://dukegroups.com/events/rsvp?id=1249361
Virtual Fall Career Fair,"Join us on Thursday, September 23 from 11:00am - 3:00pm EST to connect with employers across all industries. The fair provides a great opportunity for employers and students to meet and discuss the organization, interests, and any available or upcoming full-time jobs/internships.Please continue to check back for an updated list of employer attendees and their corresponding schedules for 1-on-1 and/or group sessions.DEMAN’s (Duke Entertainment, Media & Arts Network) Media-ville also returns to the Virtual Fall Career Fair! Meet recruiters at top creative companies including: Discovery, Inc., United Talent Agency, Axios, and more!.",Panel/Seminar/Colloquim,5,Career Center,"Thu, Sep 23, 2021",11 AM – 3 PM EDT (GMT-4),Online - Handshake,https://dukegroups.com/events/rsvp?id=1215617
North Carolina Autistic Career Summit,"The North Carolina Autistic Career Summit is for students and alumni on the autism spectrum who are seeking helpful tips and best practices for the job search process, and an opportunity to meet with employers recruiting for paid internships and degree-related full-time roles. In alignment with the concept of neurodiversity, the summit centers autistic voices and hosts sessions predominantly featuring a diverse array of autistic professionals from a variety of careers.In 2019 and 2020, the summit featured a combined total of 110+ students representing over 20 different institutions throughout NC and neighboring states. Whether community college, 4-year university, vocational or certificate program, this event is open for all to attend—not just NC State University students.",Panel/Seminar/Colloquim,5,Career Center,"Thu, Sep 23, 2021 9:30 AM –","Fri, Sep 24, 2021 5:30 PM EDT (GMT-4)",Online - More information in Handshake,https://dukegroups.com/events/rsvp?id=1236711
AMWA Upperclassmen Panel,"Duke AMWA will be hosting a panel of 5-6 upperclassmen students who will be sharing their pre-med journeys and answering questions about their campus involvement, preparation for medical school, and general interests at Duke. This panel will be a great way for new AMWA members to get to know upperclassmen in the organization and to have an informal space to ask questions related to being pre-med at Duke.Food Provided (We plan to have individually-wrapped insomnia cookies available at our event as grab-and-go food for attendees.)",Panel/Seminar/Colloquim,5,American Medical Women's Association Undergraduate Chapter,"Sun, Sep 19, 2021",3 PM – 4 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1254399
LIL NAS X: INDUSTRY BABY - Academic Panel,Hear from upperclassmen and alumni sisters of Duke aKDPhi about their academic journeys during our academic panel!,Panel/Seminar/Colloquim,5,alpha Kappa Delta Phi,"Wed, Sep 8, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1222114
Shabbat,Shabbat dinner with Duke students on our outdoor rooftop! Come for dinner and prayers with Rabbi.,Panel/Seminar/Colloquim,5,Chabad Student Group,"Fri, Sep 3, 2021",7 PM – 9 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1208699
Pathways to Pre-Med,"This event is a panel of Duke pre-med students and Duke graduate students aimed at giving advice about how to manage the requirements of the pre-med coursework and environment at Duke, as well as internship, research, and other academic opportunities. We will be offering boxed food to be taken and enjoyed outside at the conclusion of the event",Panel/Seminar/Colloquim,5,"Phi Beta Sigma Fraternity, Inc.","Thu, Aug 26, 2021",7 PM – 8:15 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1160982
Delta Sigma Pi (DSP): Non-traditional Pathways,professional information event for DSP fall 2021 recruitmentFile Attachments:,Panel/Seminar/Colloquim,5,Delta Sigma Pi,"Thu, Aug 26, 2021",6:30 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1154723
Delta Sigma Pi (DSP): Professional Event,professional development session for DSP fall 2021 recruitment,Panel/Seminar/Colloquim,5,Delta Sigma Pi,"Wed, Aug 25, 2021",7 PM – 8:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1155627
Reflecting On Ashura,"Learn or be reminded about the murder of Imam Husayn ibn Ali (the grandson of Prophet Muhammad) and his family at the Battle of Karbala in the year 61 AH. An interactive discussion with Professor Nebil Husayn. He is the Assistant Professor of Religious Studies at the University of Miami.File Attachments:,",Panel/Seminar/Colloquim,5,Center for Muslim Life,"Wed, Aug 18, 2021",6 PM – 8 PM EDT (GMT-4),ZOOM,https://dukegroups.com/events/rsvp?id=1157389
First-Year Summer Series: Healthy Relationships and Gender Violence Prevention,"New Student Programs will be hosting several webinars over the next five weeks as part of the Summer Transition Series focusing on healthy relationships education, gender violence prevention, and other resources for students. Join us July 14, July 21, July 28, August 4, and August 11 to connect with campus partners from the Women's Center, Student Wellness, Office of Student Conduct and Community Standards, and others. Registration is required for each webinar. We look forward to seeing you!If you are unable to attend the sessions, please reach out to lsp20@duke.edu to gain access to a copy of the recording.",Panel/Seminar/Colloquim,5,Student Wellness Center,"Wed, Aug 11, 2021",12 PM – 1 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1129481
First-Year Summer Series: Healthy Relationships and Gender Violence Prevention,"New Student Programs will be hosting several webinars over the next five weeks as part of the Summer Transition Series focusing on healthy relationships education, gender violence prevention, and other resources for students. Join us July 14, July 21, July 28, August 4, and August 11 to connect with campus partners from the Women's Center, Student Wellness, Office of Student Conduct and Community Standards, and others. Registration is required for each webinar. We look forward to seeing you!If you are unable to attend the sessions, please reach out to lsp20@duke.edu to gain access to a copy of the recording.",Panel/Seminar/Colloquim,5,Student Wellness Center,"Wed, Aug 11, 2021",12 PM – 1 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1129476
First-Year Summer Series: Healthy Relationships and Gender Violence Prevention,"New Student Programs will be hosting several webinars over the next five weeks as part of the Summer Transition Series focusing on healthy relationships education, gender violence prevention, and other resources for students. Join us July 14, July 21, July 28, August 4, and August 11 to connect with campus partners from the Women's Center, Student Wellness, Office of Student Conduct and Community Standards, and others. Registration is required for each webinar. We look forward to seeing you!If you are unable to attend the sessions, please reach out to lsp20@duke.edu to gain access to a copy of the recording.",Panel/Seminar/Colloquim,5,Student Wellness Center,"Wed, Aug 4, 2021",12 PM – 1 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1129480
