title,details,type,type_id,host,date,time,location,link
Web3 Weekend,"Join us for a multi part blockchain series from April 15th-April 18th! This is an open event which all Duke students are welcome. Various alumni will return to talk about the blockchain ecosystem, how it works, and its applications. Food will be provided!Food Provided",Lecture/Talk,4,Catalyst,"Fri, Apr 15, 2022 1:00 PM –","Mon, Apr 18, 2022 1:00 PM EDT (GMT-4)",Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1562404
Dakota Wood & U.S. Military Technology,"Dakota Wood, Senior Research Fellow for Defense Programs at The Heritage Foundation, will be speaking on U.S. Military Technology and its global ramifications.Food Provided (Food will be provided: either pizza or donuts)",Lecture/Talk,4,The Ciceronian Society,"Thu, Apr 14, 2022",6:30 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1573976
Visions of Freedom LLC Speaker Event,Join Visions of Freedom and Professor Bruce Caldwell for a discussion on Hayek and Socialism.,Lecture/Talk,4,Visions of Freedom Living Learning Community,"Thu, Apr 14, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1579355
German Pretzels with Professor Freytag,"We will be hearing Professor Freytag from German Studies present about German language, culture, and history!",Lecture/Talk,4,LangDorm,"Thu, Apr 14, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1581067
Cuba's Life Task: Combatting Climate Change Watch Party + Q&A Featuring Co-Producer Dr. Helen Yaffe,"Dr. Helen Yaffe is a Senior Lecturer in Economic and Social History at the University of Glasgow and a Visiting Fellow at the Latin America and Caribbean Centre at the London School of Economics. Since 1995, Dr. Yaffe has spent time living and researching in Cuba. Her doctoral thesis, undertaken at the London School of Economics, was adapted for publication as Che Guevara: The Economics of Revolution (2009). Her newest book, We Are Cuba! How a Revolutionary People Have Survived in a Post-Soviet World was published by Yale Press in 2020. She also co-produced Cuba & Covid-19: Public Health, Science and Solidarity, which was released in 2020.Cuba's Life Task: Combatting Climate Change premiered at COP26, and includes interviews with Cuban leadership, citizens, and more as Dr. Yaffe learns about Tarea Vida, the state plan for climate change, adaptation, and mitigation.There are many options for attending this event. We will be screening the documentary in-person from 5:30-6:30pm and then have Dr. Yaffe join us on Zoom in that same room from 6:30-7:30pm. If you would like to watch the documentary on your own time, the youtube link will be provided after you register. Also, if you prefer to join the talk virtually, use the Zoom link and join us from 6:30-7:30pm.Disclaimer: this event will analyze speeches and approaches of the Cuban government and citizens. The historic and political nature of the content may be considered sensitive to some.",Lecture/Talk,4,Working Group on the Environment in Latin America,"Thu, Apr 14, 2022",5:30 PM – 7:30 PM EDT (GMT-4),Grainger Hall Field Auditorium (GH 1112),https://dukegroups.com/events/rsvp?id=1575234
RAM General Body Meeting,We will be having a meeting in which we discuss plans for the remainder of the school year.,Lecture/Talk,4,Duke Remote Area Medical ,"Thu, Apr 14, 2022",5 PM – 6 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1578214
April GBM,Join us for our last GBM of the academic year!,Lecture/Talk,4,Duke Association for Business Oriented Women,"Wed, Apr 13, 2022",8 PM – 9 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1584110
Duke WC4BL Racial Justice Action Hour,"This is a monthly event that is sometimes held virtually and sometimes in person in which members come together for 1 hour every month to learn about a cause and participate in collective activism (calling senators, sending emails, signing petitions, etc.)",Lecture/Talk,4,White Coats for Black Lives,"Wed, Apr 13, 2022",7 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1389721
Ivy+ Just in Time Virtual Career Fair,Looking for a summer internship or full-time job? Don't miss this unique opportunity to meet top employers from various industries at the Ivy+ Just in Time Virtual Career Fair. Employers will be eager to meet you as they share information about currently available internships and full-time roles for 2022.,Lecture/Talk,4,Career Center,"Wed, Apr 13, 2022",1 PM – 4 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1537347
The Israel Summit Watch Party,"Come and enjoy free dinner while watching The Israel Summit. The Israel Summit is a unique virtual gathering on Israel including changemakers in politics, entertainment, technology, and business. Keynote speakers include Dov Margon, inventor of the USB flash drive and venture capitalist, Amir Sagron, the Deputy Ambassador to Romania from Israel, and Gadeer Kamal-Mreeh, the first female Druze MK.Food Provided (Dinner & dessert from TBD vendor)",Lecture/Talk,4,Duke Israel Public Affairs Committee,"Tue, Apr 12, 2022",7:30 PM – 9:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1569116
The Israel Summit,"We will be streaming The Israel Summit, a virtual event organized by university students which features guest speakers from a variety of industries who have a connection to Israel.",Lecture/Talk,4,Students Supporting Israel,"Tue, Apr 12, 2022",7:30 PM – 9:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1584643
Keys to Career Success: Diligence and Persistence with Bianca Forde '05,"What happens when you find yourself working outside of your Career Target Zone? How do you remain focused on skill-development, relationship building, and other strategic goals while striving to align skills, interests, and compensation? Hear from the unique perspective of Bianca M. Forde '05, who has successfully navigated legal, corporate, and government spheres, and used her position as a federal prosecutor to challenge policies that disproportionately impact communities of color.",Lecture/Talk,4,Career Center,"Tue, Apr 12, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1573722
Student Seminar - MRS@DUKE/DOSC,"3 graduate presenters will give a lightning talk of their research on optics or materials science. Free dining cards for Broadhead Center will be given to 12 attendees on a first-come, first-serve basis.Date: April 12th, 2022Time: 5 - 6 PMLocation: Schiciano Auditorium (CIEMAS) Side AFood Provided (Individual Broadhead Center dining cards will be given to attendees.)",Lecture/Talk,4,Materials Research Society at Duke,"Tue, Apr 12, 2022",5 PM – 6 PM EDT (GMT-4),Schiciano Auditorium (CIEMAS) Side A,https://dukegroups.com/events/rsvp?id=1516914
Intro to the Case Interview,Come learn essential casing skills!,Lecture/Talk,4,Duke Association for Business Oriented Women,"Mon, Apr 11, 2022",7 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1585439
RAM Clinic Fundraiser,"RAM members will be fundraising for the clinic in Henderson, NC in May 2022 that is being planned and executed by RAM members.",Lecture/Talk,4,Duke Remote Area Medical ,"Mon, Apr 11, 2022 10:00 AM –","Fri, Apr 15, 2022 5:00 PM EDT (GMT-4)",Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1584418
Arete Fellowship Discussion Section #2b,"Discussion sections for the Arete Fellowship, run by Duke Effective Altruism",Lecture/Talk,4,Effective Altruism: Duke,"Sun, Apr 10, 2022",3 PM – 4:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1519822
HackDuke: IDEATE 2022 Closing Ceremony,IDEATE Closing Ceremony,Lecture/Talk,4,HackDuke,"Sun, Apr 10, 2022",3 PM – 4 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1579067
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Apr 10, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413473
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Apr 10, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413487
HackDuke: IDEATE 2022 Opening Ceremony,IDEATE opening ceremony,Lecture/Talk,4,HackDuke,"Sat, Apr 9, 2022",10:30 AM – 12:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1579061
It's the Justice I Can See,This is a book talk with Soror Bianca Forde about her book Prosecuted Prosecutor: A Memoir & Blueprint for Prosecutor-led Criminal Justice Reform,Lecture/Talk,4,"Delta Sigma Theta Sorority, Inc.","Thu, Apr 7, 2022",6 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1572768
Beta Israel & Ethiopian-Israelis,"Learn more about Ethiopian-Israelis and the unique situation of Beta Israel in Israeli society, while enjoying free Ethiopian food from Goorsha!Food Provided (Goorsha)",Lecture/Talk,4,Duke Israel Public Affairs Committee,"Thu, Apr 7, 2022",5 PM – 6:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1569117
DEID April General Body Meeting,"On April 5th, DEID will be hosting our April General Body meeting. We will be having Dr. Luana Lima (professor of energy and the environment in the Nicholas School) as a guest speaker.",Lecture/Talk,4,Duke Engineers for International Development,"Tue, Apr 5, 2022",7 PM – 8:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1572495
SHAPE x Cooper,Sexual assault prevention training with SLG,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Mon, Apr 4, 2022",8:30 PM – 10 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1577702
Enviro-Art Gallery 2022,"Join us at the grand opening of the 6th ever, and 3rd at Duke, installment of the Enviro-Art Gallery! The Enviro-Art Gallery is a showcase of student and professional artwork designed to highlight the beauty and struggles of nature. Through the use of a variety of media and artistic styles, the gallery works to provide a relatable and easily absorbable method for environmental awareness and activism.This year, we are showcasing local art from the Duke community (including students, faculty, those attending DKU, and those at the marine lab), and from the Research Triangle (including art organizations and professional artists).Throughout the month of April, artwork will be on display in the Ruby and on a virtual gallery webpage; but we are excited to have you at the grand opening on April 4th at 7 PM!This event will include food (which will be eaten on the Ruby patio before the start of the event), a Duke-affiliated speaker working at the intersection of the environment and art, and a screening of student-made environmental documentaries. Of course, you will also have time to admire the art!Food Provided (Zweli's Catering! Boxed meals will be provided. )",Lecture/Talk,4,Undergraduate Environmental Union,"Mon, Apr 4, 2022",5 PM – 6:30 PM EDT (GMT-4),Ruby Lounge and Courtyard,https://dukegroups.com/events/rsvp?id=1530051
First-Year & Sophomore Conversations with Bates White,"We invite you to join us for a small-group, 30-minute discussion to learn more about what differentiates economic consulting from other consulting fields and what makes Bates White a great place to work. We look forward to connecting with you!",Lecture/Talk,4,Career Center,"Mon, Apr 4, 2022",1 PM – 5 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1541226
Arete Fellowship Discussion Section #2b,"Discussion sections for the Arete Fellowship, run by Duke Effective Altruism",Lecture/Talk,4,Effective Altruism: Duke,"Sun, Apr 3, 2022",3 PM – 4:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1519821
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Apr 3, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413472
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Apr 3, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413486
Chess Lecture,A local chess master will deliver a lecture to our club.,Lecture/Talk,4,Duke University Chess Club,"Sat, Apr 2, 2022",3 PM – 6 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1541794
"NAACP ""Just Mercy"" Screening","Movie screening of ""Just Mercy"" accompanied by a group discussion.",Lecture/Talk,4,Duke National Association for the Advancement of Colored People,"Thu, Mar 31, 2022",7 PM – 9 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1562355
Narrating Resistance and Agency: Shifting the Discourse on Palestine - Keynote Panel,"Duke Students for Justice in Palestine and Duke Arab Students Association are hosting a panel event with three prominent Palestinian activists and journalists. Speakers include Mohammed El-Kurd, Ahmed El-Din, and Dana AlHasan.",Lecture/Talk,4,Duke Students for Justice in Palestine,"Thu, Mar 31, 2022",6 PM – 8:30 PM EDT (GMT-4),Reynolds Theater,https://dukegroups.com/events/rsvp?id=1451658
Jefferies In-Person Info Session,Duke Business Society will be co-hosting an info-session for Jefferies which is an investment bank that wishes to recruit from Duke undergraduates.,Lecture/Talk,4,Duke Business Society,"Wed, Mar 30, 2022",7 PM – 8:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1559508
Tell Me More about Bioinformatics with Jeff Headd,"Bioinformatics is where biology and computer science meet. In this next installment of Tell Me More, Jeff Headd (PhD '09), Vice President of Commercial Data Science at The Janssen Pharmaceutical Companies of Johnson & Johnson will talk about his career, the field of bioinformatics, and how you can get involved. Bring your questions.",Lecture/Talk,4,Career Center,"Wed, Mar 30, 2022",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1541326
"Tell Me More with Dr. Celeste Rohlfing '79, Scientist and Senior Executive","Join us for an exciting discussion with Dr. Celeste Rohlfing '79 and learn about her career path in chemistry from Los Alamos, to the White House, and then some. She'll share her best advice for navigating the field of science and connecting and building professional skills.",Lecture/Talk,4,Career Center,"Wed, Mar 30, 2022",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1548734
An Evening Conversation with Hasan Minhaj,"Join us on Tuesday March 29th at 8pm for a virtual conversation with comedian, writer and producer Hasan Minhaj. The event will be moderator by members of Inside Joke, DIYA and DUST!Register for the zoom link here: https://duke.zoom.us/webinar/register/WN_Rkv2AYIzSf6RL4qESNGvpA",Lecture/Talk,4,DUU Speakers and Stage,"Tue, Mar 29, 2022",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1566755
Palestine 101,Join us for a discussion with community leader Dana Alhasan on the ongoing Israeli colonization of Palestine and the Palestinian struggle for self-determination and liberation.,Lecture/Talk,4,Duke Students for Justice in Palestine,"Tue, Mar 29, 2022",7 PM – 8:30 PM EDT (GMT-4),Gross Hall 107,https://dukegroups.com/events/rsvp?id=1535026
Ryan Emanuel Lunch and Learn,Come hear the Nicholas School's newest faculty member on his work in indigenous rights and water justice!Food Provided (Lunch boxes),Lecture/Talk,4,Duke University Environmental Justice Network,"Tue, Mar 29, 2022",12:30 PM – 1:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1566203
Journey to Parenthood: Family Building for the LGBTQIA + Couples,"Please come join us as DUSON Spectrum in collaboration with the Center for Gender and Sexual Diversity (CSGD) and Duke Student Nurses Reproductive Health (DNRH) will host and explore the many challenges the LGBTQIA + couples faced in regards to surrogacy and infertility. Our wonderful experts from the Duke Fertility Center will discuss the social, ethical and empirical aspects of egg donors and options for LGBTQIA parenting.",Lecture/Talk,4,DUSON Spectrum,"Tue, Mar 29, 2022",12 PM – 1:30 PM EDT (GMT-4),Virtual Zoom Event,https://dukegroups.com/events/rsvp?id=1501636
Phoebe Balascio,"Phoebe Balascio is a transracial, transnational, Chinese American adoptee passionate about racial justice, immigrant justice, disability justice, and the adoption industrial complex. Her current research at the University of Pittsburgh focuses on gender-based violence. She will be giving a virtual talk at Duke on the adoption industrial complex and her work with the Woori Center, whose mission is to organize Korean and Asian Americans towards social, racial, and economic justice.",Lecture/Talk,4,Asian Students Association,"Mon, Mar 28, 2022",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1519596
Buddhist Meditation * Special Offering | The Black Body and Buddhist Liberation,"Today's Buddhist Meditation will be led by the Rima Vesely-Flad, PhD author of Black Buddhists and the Black Radical Tradition: The Practice of Stillness in the Movement for Liberation.All levels of experience are welcome, and the sessions are open to all Duke students, faculty, and staff.Participate via Zoom: bit.ly/Vesely-Flad-Mar28 or locally in the York Room at the Divinity School. Food and Refreshments provided.",Lecture/Talk,4,Student Wellness Center,"Mon, Mar 28, 2022",6:30 PM – 8 PM EDT (GMT-4),York Room at the Divinity School or via Zoom,https://dukegroups.com/events/rsvp?id=1414080
Guest Speaker: Dr. Rima Vesely Flad,Dr. Rima Vesely Flad will offer a program for us on emerging Black Buddhism and healing intergenerational trauma.,Lecture/Talk,4,Buddhist Meditation Community at Duke,"Mon, Mar 28, 2022",6:30 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1536753
RAM State Relations 101 Presentation,Katie Lipe from Duke State Relations will be giving a talk about healthcare access.,Lecture/Talk,4,Duke Remote Area Medical ,"Mon, Mar 28, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1565411
SHAPE x Wayne,Sexual assault prevention training,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Sun, Mar 27, 2022",9 PM – 9:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1562804
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 27, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413471
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 27, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413485
Chess Lecture,A local chess master will deliver a lecture to our club.,Lecture/Talk,4,Duke University Chess Club,"Sat, Mar 26, 2022",3 PM – 6 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1541787
Career Building with QB,This will by a hybrid event where students can gather to receive advice from Duke Career Center staff and Duke alumni regarding job recruitment processes and network building.Food Provided (Chick-Fil-A will be catering. We will have 30 individually packaged nugget boxes and 30 individually packaged cookies.),Lecture/Talk,4,Duke QuestBridge Chapter,"Sat, Mar 26, 2022",12 PM – 4 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1552589
Jas┼½r X El Farouk Khaki,"Join us for a discussion with El Farouk Khaki, a practicing Imam, human rights lawyer and queer Muslim activist. In 1991, he founded Salaam, an organization devoted to supporting LGBTQI Muslims. His inclusive model of Jum'ah services in his Unity mosques served as the basis for Duke's own on-campus mosque.",Lecture/Talk,4,Jas┼½r Magazine,"Fri, Mar 25, 2022",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1497363
SHAPE x Brownstone,Sexual violence prevention training for SLG,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Thu, Mar 24, 2022",7 PM – 9 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1558934
RAM March Clinic Reflection,"RAM members will engage in a reflection about the most recent clinic in Cookeville, TN.",Lecture/Talk,4,Duke Remote Area Medical ,"Thu, Mar 24, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1530179
NAMI Duke X NeuroCare Psychiatrist Meet & Greet,We will be hosting a local psychiatrist from Durham who specializes in substance abuse treatment and utilizing alternative medications to address mental health ailments.,Lecture/Talk,4,National Alliance on Mental Illness (NAMI) on Campus at Duke University,"Thu, Mar 24, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1546449
First-Year & Sophomore Conversations with Capital One,"Are you exploring career options and curious to learn more about an organization like Capital One?Join Capital One Associates for a panel discussion on campus rotational programs like the Analyst Development Program. During this fun, hands-on event, you'll build connections with Capital One Associates, ask specific questions and hear more about our campus program offerings.Set a reminder - this is an evening you won't want to miss!",Lecture/Talk,4,Career Center,"Thu, Mar 24, 2022",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1513339
SHAPE x Phi Alpha Delta,Training Phi Alpha Delta about sexual violence prevention.,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Wed, Mar 23, 2022",8 PM – 10 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1560262
Tell Me More about Healthcare and Social Impact,"Imagine combining healthcare, data/tech, and entrepreneurship together to make social impact.Our guest for this Fannie Mitchell Tell Me More program session did just that. Join us as we are joined by the CEO of GoodRx, Doug Hirsch, for a conversation surrounding the mission of GoodRx and how it makes a difference across industries and in society.",Lecture/Talk,4,Career Center,"Wed, Mar 23, 2022",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1548763
Two Truths in One Heart; Two Peoples in One Land,"Khalil Sayegh is a Gaza-born Palestinian from a refugee family who grew up with deep anger towards Israel and its people. Hanan Schlesinger is a passionate Zionist settler living in the West Bank. Together, these unlikely partners are paving a path of peace for their peoples.Join Khalil and Hanan as they share their personal, interconnected stories and present the groundbreaking and challenging grassroots work of Roots / Shorashim / Judur. They come, not with a peace plan, but with the conviction that human understanding and trust are the prerequisites for lasting justice, freedom, and peace in this land they both call home.",Lecture/Talk,4,Jewish Life at Duke,"Wed, Mar 23, 2022",7 PM – 9 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1555121
First-Gen Alumni Seminar 2,Duke first-gen alumni will share their experiences with current first-gen grad students.,Lecture/Talk,4,First-Generation Graduate Student Network ,"Wed, Mar 23, 2022",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1538444
Resilient marine ecosystems and electric systems in the Caribbean with Dan Whittle,"Daniel Whittle directs EDF's work to advance conservation of marine and coastal ecosystems in Cuba, and to accelerate efforts to build a more resilient electric system in Puerto Rico. He works with Cuban scientists, lawyers, resource managers and communities to identify and implement collaborative strategies for fisheries management, coral reef conservation, and sustainable coastal development in Cuba and the region.",Lecture/Talk,4,Working Group on the Environment in Latin America,"Wed, Mar 23, 2022",1:30 PM – 2:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1548632
"Flora, Disaster, and Resilience: Ethnobotany and Feminism in the Caribbean","In this event, we will hear from Alicia Wallace and Ella Vardeman. Alicia Wallace is a women's rights activist, public educator, movement builder, and writer from The Bahamas. She is the Director of Hollaback! Bahamas — part of a global movement to end street harassment — and uses the platform to broaden discussions on feminism and gender-based violence and discrimination. She serves as the Regional Coordinator of Hollaback! Caribbean, and has designed a safe space training program and designation system for the region. Alicia is also Director of Equality Bahamas which promotes women's rights as human rights. The organization focused primarily on intimate partner violence in 2014, and constitutional equality from 2014 to June 2016 when a constitutional referendum on gender equality in citizenship rights and non-discrimination was held. Ella Vardeman is a PhD student studying Plant Sciences at the City University of New York. Her research focuses on ethnopharmacology of women's health plants used by Haitian immigrants in New York City. Her past publications include Caribbean Women's Health and Transnational Ethnobotany.",Lecture/Talk,4,Undergraduate Environmental Union,"Tue, Mar 22, 2022",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1539322
Tech in the Courtroom,Listen to Duke's very own Professor Owen Astrachan talk about his recent experience with the Google v. Oracle caseFood Provided (Guasaca),Lecture/Talk,4,Women In Technology,"Tue, Mar 22, 2022",6 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1558996
SHAPE x Peer for You,Training Peer for You in sexual violence prevention,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Mon, Mar 21, 2022",6 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1560261
Arete Fellowship Discussion Section #2b,"Discussion sections for the Arete Fellowship, run by Duke Effective Altruism",Lecture/Talk,4,Effective Altruism: Duke,"Sun, Mar 20, 2022",3 PM – 4:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1519820
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 20, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413470
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 20, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413484
SHAPE x Mirecourt,Sexual violence prevention training for SLG,Lecture/Talk,4,Sexual Harassment and Assault Prevention & Education,"Thu, Mar 17, 2022",6 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1558754
Climate Finance Chat with Dr. Chris Wedding,"If you're into socially and environmentally responsible investing, don't miss out on this event. Dr. Chris Wedding has worked in the intersection of energy, environment, and finance with over 20 years of experience in private equity, investment banking, executive education, and academia. He is currently an Executive in Residence at the Fuqua School of Business and an Associate Professor with the Nicholas School of the Environment. Only the first 10 respondents are guaranteed an in-person spot for this event, so sign up quick. Later respondents will be able to join us via Zoom.Food Provided",Lecture/Talk,4,Duke Energy Club,"Thu, Mar 17, 2022",1 PM – 1:45 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1542822
RAM General Body Meeting,Past and future RAM events will be discussed with all RAM members.,Lecture/Talk,4,Duke Remote Area Medical ,"Wed, Mar 16, 2022",5 PM – 6 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1542657
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 13, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413469
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 13, 2022",2:30 PM – 7 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413483
Duke WC4BL Racial Justice Action Hour,"This is a monthly event that is sometimes held virtually and sometimes in person in which members come together for 1 hour every month to learn about a cause and participate in collective activism (calling senators, sending emails, signing petitions, etc.)",Lecture/Talk,4,White Coats for Black Lives,"Wed, Mar 9, 2022",7 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1389720
Graduate Career Consortium Ph.D. and Master's Virtual Fair,"The Virtual Career Expo is a one-day online career fair/networking for Ph.D. & Master's students, postdocs, and alumni that offers the opportunity to connect with employers. Employers represent a wide range of career fields. They are all seeking advanced-degree candidates.",Lecture/Talk,4,Career Center,"Wed, Mar 9, 2022",11 AM – 5 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=1517342
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 6, 2022",2:30 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413468
General Body Meeting & Investor Training Program,Weekly GBM for all and ITP session for interested students,Lecture/Talk,4,Duke Investment Club,"Sun, Mar 6, 2022",2:30 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1413482
DB X DBS Speaker Event,"DBS hopes to host a speaker event for underclassmen who are interested in recruiting for investment banking by inviting Duke alum and first year analyst at Deutsche Bank, Chapin Ruffa.",Lecture/Talk,4,Duke Business Society,"Fri, Mar 4, 2022",5 PM – 6:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1534576
Investment Banking Senior Speaker,Senior Isabella Soffer will be discussing her experiences in Investment Banking,Lecture/Talk,4,Duke Business Society,"Wed, Mar 2, 2022",7 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1532515
