title,details,type,type_id,host,date,time,location,link
The Prestige | Darkness Purrs Screening,"Join us with Freewater Productions for a screening of The Prestige (2006), starring Christian Bale and Hugh Jackman as rival magicians caught up in a deadly feud. We will start with a screening of award-winning horror-comedy short film Darkness Purrs, directed by Duke student Josh Yip!",Social,2,DUU Freewater Presentations,"Fri, Aug 14, 2020 7:00 PM –","Sat, Aug 15, 2020 8:00 AM EDT (GMT-4)",Online Event,https://dukegroups.com/events/rsvp?id=736641
Shark Tale Screening with Trivia!,"Join us with Duke@Nite for a screening of cult classic Shark Tale (2004), starring Will Smith as an animated fish! After the screening, we will host a live trivia event with audience participation. Get ready to compete with your classmates on your Shark Tale cinema savvy!",Social,2,DUU Freewater Presentations,"Thu, Aug 13, 2020",8:30 PM – 11:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=735320
"Duke @ Nite Icebreaker ""Speed Dating""","Mingle with and get to know your classmates with ""Speed Dating""-style icebreakers and other fun activities, and learn about Duke@Nite, our programming, and how to get involved!",Social,2,DUU Duke @ Nite,"Sun, Aug 9, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=732207
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, May 24, 2021",8 AM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1103962
Ice Cream Social with International House,"Come and pick up ice cream from the porch of International House! Chat with International House staff, catch up with old friends, and meet new ones.*The ice creams are available on a first-come-first-serve basis.Food Provided (We will provide ice creams for students to pick up. Thrive will be the caterer for us. )",Social,2,Duke International Student Center,"Mon, May 17, 2021",2:30 PM – 3:30 PM EDT (GMT-4),International House,https://dukegroups.com/events/rsvp?id=1101310
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, May 17, 2021",8 AM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1103960
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, May 10, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902836
DAGPSA Zoom Hangout,"DAGPSA will be holding a zoom hangout session on April 30 from 6-8pm. Before the zoom hangout, students will get a chance to pick up food catered by Zwellis, and then meet over zoom to catch up.",Social,2,Duke African Graduate and Professional Students Association,"Fri, May 7, 2021",6 PM – 9 PM EDT (GMT-4),TBD,https://dukegroups.com/events/rsvp?id=1079040
End of the semester get together MIDP,"The event is to take place during the day in the campus space. Only Duke students will be allowed.It is inspired in Amazing Race where people are put in groups and have complete challenges and compete in who accomplishes the challenges first or better.Groups will be minimum of 4 maximum of 6 people.In the end, we will have prizes for the winning group and simple prizes for all the participants.Split into groups - send each group to one Base to fulfill the challengeBase 1:""Telephone Game"" with an image:There is an image/painting or photography at one end. One person has to explain details in the picture to another member of the team ( they will be talking as a normal conversation, 6 feet and masked), who runs to a third member (located in another end) who is supposed to draw the image - This can be done over several rounds: the person seeing the picture does not have to explain everything at once. But the second and third person cannot see the image at any point.If it's a group of 6 we split it into two mini-groups, but if it's 5 there are more steps in the process.Base 2:Hula hoop challengeEach person in the group has to complete 10 hula hoops in a limited timeBase 3:Guess who is the character?Have a list of several famous/ known personalities ( members of the faculty, students, famous people) in small pieces of paperEach person grabs one piece of paper from the bag and glues it into her/his forehead. (Without seeing what is written )In a circle, each person has the chance to make YES or NO questions to discover who is the character, and the other member of the group (who are seeing what is written in the paper) answer the question.Base 4Mimics challenge",Social,2,MIDP Student Council,"Fri, May 7, 2021",2 PM – 4 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1070592
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, May 3, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902835
DWN Second-Year Send-Off,Opportunity to recognize and celebrate graduating DWN members.,Social,2,Duke Water Network,"Tue, Apr 27, 2021",5:15 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1085974
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, Apr 26, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902834
DukeOUT Podcast Discussion,"Join us for Podcast Club this Sunday at 10am! We'll be discussing the LGBTQ+ Stem Cast: Colonialism in Science featuring DukeOUT's treasurer, Ray Allen. Listen to the episode beforehand and come prepared to discuss your thoughts and hot takes! DukeOUT will be providing coffee and donuts from Monuts on 9th St. Email your order to contactdukeout@gmail.com by 7pm Saturday and pick it up Sunday morning before the meeting starts.Food Provided",Social,2,DukeOUT,"Sun, Apr 25, 2021",10 AM – 11 AM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1088398
LDOC Screen Printing with DUU Small Town Records,"Join STR outside the BC Plaza on LDOC to screen print original STR tote bags! In celebration of LDOC, and to promote our LDOC artist, we will be playing hits from our favorite artists to celebrate our newest music releases during this unconventional year.First 150 students will get the chance to print custom STR bags. After that, you can bring your own items to screen print!",Social,2,DUU Small Town Records,"Fri, Apr 23, 2021",3 PM – 4 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1047185
Fullsteam Drive Thru & Brew Pt. II,"Socially distanced event where students go to Fullsteam Brewery, pick up a 4 pack of beer and enjoy at home!",Social,2,Graduate and Professional Student Government,"Fri, Apr 23, 2021 3:00 PM –","Sun, Apr 25, 2021 9:00 PM EDT (GMT-4)",Private Location (register to display),https://dukegroups.com/events/rsvp?id=1080735
Lyrid Meteor Shower Stargazing,,Social,2,Duke Students for the Exploration and Development of Space,"Thu, Apr 22, 2021",10 PM – 11:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1076553
Psi Upsilon Virtual Gathering: Pre-Finals Fun!,Virtual game night featuring an assortment of multiplayer board games.,Social,2,Psi Upsilon,"Thu, Apr 22, 2021",9 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1084808
Painting with the Hermanos,A fun and stress-free study break where all students can join the Hermanos and our Neo in painting mini sculptures! All students who plan to attend will be able to pick up their art supplies in the Bryan Center the day before the event in a contactless manner.,Social,2,"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.","Thu, Apr 22, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1081937
Duke Staff Appreciation Event,"On behalf of NPHC, we want to give our thanks to the various Duke employees that simply make our lives better. We plan to give out gift bags to different workers we see at various locations on campus such as WU and within BC.",Social,2,National Pan-Hellenic Council,"Thu, Apr 22, 2021",6 PM – 10 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1085574
End of the year CSGD/BDU Mentoring Hangout,"For all the mentors and Mentees in the CSGD/BDU Mentoring program to hang out together, discuss the program, and play some games together :)",Social,2,Blue Devils United,"Thu, Apr 22, 2021",5 PM – 6:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1084476
Pratt E-Picnic T-shirt Pickup,"Pratt students will sign up to quickly pick up their t-shirt and have their names checked off the list. This will be a grab-and-go activity. The pick-up location will be on the Bryan center plaza and the table will have hand sanitizer.  The sign-up can also act as contact trace if needed, and we will actively keep track of who actually came to pick up a t-shirt.",Social,2,Engineering Student Government,"Thu, Apr 22, 2021",3 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1038711
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Mon, Apr 19, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051459
Hindu Student Association Care Package Distribution,"Duke Hindu Students Association is distributing care packages containing items such as stress balls, tea bags, and other fun items to those who filled out the survey. Packages will be available for pick-up on April 19 and 20 from 4-6 pm at Bryan Center Plaza. HSA is not expecting to have 10 people at out table at one, but rather people will be coming and going.",Social,2,Hindu Students Association,"Mon, Apr 19, 2021",4 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1079189
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, Apr 19, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902833
Duke Rhydhun: Senior Night,"Duke Rhydhun is hosting our Senior Night at the Arts Annex to honor our seniors, who have shown great dedication to our team over the past four years!",Social,2,Duke Rhydhun,"Sun, Apr 18, 2021",1 PM – 4 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1077964
Howl's Moving Castle Outdoor Screening with JCC on East Campus Quad!,"Join us for an outdoor screening of Howl's Moving Castle on East Campus Quad with Japanese Culture Club! A Studio Ghibli classic, Howl's Moving Castle is an animated fantasy film about Sophie, a young woman who is cursed into an old woman and meets Howl, a wizard fighting the king. Signups restricted to 25 per screening, 50 people total.",Social,2,DUU Freewater Presentations,"Sat, Apr 17, 2021",8 PM – 11:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1080779
Howl's Moving Castle Outdoor Screening with JCC on East Campus Quad!,"Join us for an outdoor screening of Howl's Moving Castle on East Campus Quad on 4/17 at 8 pm EST! Co-hosted with Duke's Japanese Culture Club! Sign-ups limited, 50 people per screening.",Social,2,DUU Freewater Presentations,"Sat, Apr 17, 2021",8 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1064932
Kinky Boots Live Stream,Join us for a virtual watch party to enjoy Kinky Boots streamed live from the Carolina Theater!,Social,2,DukeOUT,"Sat, Apr 17, 2021",7 PM – 10 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1076685
Le Kiki,"Every spring, BDU hosts a drag event featuring students and local drag queens. The night kicks of with the exec team performing Le Kiki and follows with dances, runways, and just a generally good time.",Social,2,Blue Devils United,"Sat, Apr 17, 2021",7 PM – 10 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1072723
Diya Semi,"On April 17th, from 3-5:30pm Diya plans to host a Semi Pictures Event, which will take place in front of the Chapel on the steps. Students will sign up for timeslots for pictures as individuals/couples/groups (of no more than 6). They will come during that time and a photographer (Duke junior) will take a few pictures of them (these pictures will be printed and distributed later). The photographer, people being photographed, and anyone else there will be wearing a mask the entire time, with the potential exception of individuals during solo photographs. Groups will distance during group pictures. Students will also be encouraged to only take pictures with people in their ""bubble."" The camera will only be operated by one person, the photographer. Groups will arrive 10 minutes before their time slot and will be asked to leave immediately after to prevent a crowd from forming.",Social,2,Duke Diya (South Asian Students Association),"Sat, Apr 17, 2021",3 PM – 5:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1072847
VisArts Tie Dye Pop Up,"In partnership with duArts, VisArts will be hosting a tie dye event April 17 during Mural Durham! This event will be hosted at the arts annex. Students will be able to tie dye their own piece of VisArts merch and all supplies will be provided.",Social,2,DUU Visual Arts Committee,"Sat, Apr 17, 2021",2 PM – 5 PM EDT (GMT-4),Arts Annex,https://dukegroups.com/events/rsvp?id=1069713
AIV Senior Sharing,Online event to celebrate our graduating class of 2021.,Social,2,Duke InterVarsity Christian Fellowship,"Sat, Apr 17, 2021",1 PM – 3 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1076675
Saving Face Movie Screening with ASA on East Campus Quad!,"Join us for an outdoor movie screening with Duke Asian Student Association on East Campus Quad on Friday, 4/2! Sign-ups limited, RSVP now! Saving Face is a 2004 American romantic drama about Wilhelmina, a young Chinese-American surgeon, and her dancer girlfriend.",Social,2,DUU Freewater Presentations,"Fri, Apr 16, 2021",8 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1060580
Duke@Nite Trivia,DUSDAC x Duke@Nite Foodie Trivia,Social,2,DUU Duke @ Nite,"Thu, Apr 15, 2021",8 PM – 9 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1076199
MGC Spyfall,"Come play a Mafia-esque game, SpyFall, with all of the MGC Council this Wednesday, April 14th at 6 PM EST and get to know  others within the council! Winners will get their choice of gift card options!",Social,2,Multicultural Greek Council,"Wed, Apr 14, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1080159
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Wed, Apr 14, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051458
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Mon, Apr 12, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051457
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, Apr 12, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902832
DukeOUT Podcast Discussion,Join us for Podcast Club this Sunday at 10am! We'll be discussing Outward Slate: Gay Bars and Hookup Apps. Listen to the episode beforehand and come prepared to discuss your thoughts and hot takes! DukeOUT will be providing coffee and donuts from Monuts on 9th St. Email your order to contactdukeout@gmail.com by 7pm Saturday and pick it up Sunday morning before the meeting starts.Food Provided,Social,2,DukeOUT,"Sun, Apr 11, 2021",10 AM – 11 AM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1076683
Chai Chats,Join us over zoom in casual get-togethers hosted throughout the semester!,Social,2,Duke Persian Students Association,"Sat, Apr 10, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1065572
Minecraft with LUL,"Join us for a build-off in the Minecraft Education Edition for a chance to win a full version of the Minecraft Java Edition as well as the title of the best builder at Duke. In order to download this edition of Minecraft, go to https://education.minecraft.net/get-started and click on ""download now."" Once you open up the application, simply login using your netid credentials. The code to join the server will be given at the event. We are excited to see your best building skills!",Social,2,"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.","Fri, Apr 9, 2021",9 PM – 10:30 PM EDT (GMT-4),Zoom,https://dukegroups.com/events/rsvp?id=1067017
Howl's Moving Castle Outdoor Screening with JCC on East Campus Quad!,"Join us for an outdoor screening of Howl's Moving Castle on East Campus Quad with Japanese Culture Club! A Studio Ghibli classic, Howl's Moving Castle is an animated fantasy film about Sophie, a young woman who is cursed into an old woman and meets Howl, a wizard fighting the king. Signups restricted to 25 per screening, 50 people total.",Social,2,DUU Freewater Presentations,"Fri, Apr 9, 2021",8 PM – 11:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1046900
Lunch,Honey Process activity,Social,2,Alpha Pi Omega Sorority Inc.,"Fri, Apr 9, 2021",12 PM – 1 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051879
Duke @ Nite Triva: Broadway,"Duke@Nite's regular trivia, in a new online format! Show off your knowledge against your friends and win awesome prizes! This week, our trivia is Broadway-themed. Brush up on your Broadway knowledge by grabbing a team of friends and joining us on Zoom at 9!",Social,2,DUU Duke @ Nite,"Thu, Apr 8, 2021",9 PM – 10 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1073732
Social Activity,"Honey Process activity- movie night, spa night, or another social activity",Social,2,Alpha Pi Omega Sorority Inc.,"Thu, Apr 8, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051875
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Wed, Apr 7, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051456
DUU Special Events: Polar Paradise,"***Due to forecasted thunderstorms, Polar Paradise is being postponed to a later date. Date is TBD, so stay tuned and we'll see you soon!***DUU Special Events will be soaking up some tropical paradise vibes on the BC Plaza on April 7th from 1:30 PM – 4:30 pm! There will be themed giveaways, including brand new DUU Special Event T-shirts, tropical leis, and custom stress balls for all of your midterm-season needs, as well as some fun activities and cookies!Food Provided (Small number of individually packaged cookies, if approved. Otherwise, no food.)",Social,2,DUU Special Events,"Wed, Apr 7, 2021",1:30 PM – 4:30 PM EDT (GMT-4),Tent by BC Plaza and Penn Pavilion,https://dukegroups.com/events/rsvp?id=1043187
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, Apr 5, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902831
Outdoor Introductions and Hangout,"East Campus Quad hangout! Get to know some of your fellow new members as well as other members! This is an event for new members to get to know more internal members personally in a safe, friendly environment.",Social,2,Catalyst,"Sat, Apr 3, 2021",2 PM – 5 PM EDT (GMT-4),East Campus Main Quad,https://dukegroups.com/events/rsvp?id=1036112
Outdoor Introductions and Hangout,"Duke Gardens hangout! Get to know some of your fellow new members as well as other members! This is an event for new members to get to know more internal members personally in a safe, friendly environment.",Social,2,Catalyst,"Sat, Apr 3, 2021",2 PM – 5 PM EDT (GMT-4),Duke Gardens,https://dukegroups.com/events/rsvp?id=1040228
Social Activity,"Honey Process activity- movie night, spa night, or another social activity",Social,2,Alpha Pi Omega Sorority Inc.,"Fri, Apr 2, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051874
Dance-a-thon,"This event is a dance-a-thon including the members of the chapter and we hope to recruit a few of Duke's dance groups to raise money for the American Cancer Society. We will be hosting this over Zoom and Instagram live over the course of a few hours. We will ask for pledges and donations, but at least one member of the chapter will dance for the duration of the event regardless of the amount of money we raise.",Social,2,"Phi Beta Sigma Fraternity, Inc.","Fri, Apr 2, 2021",5 PM – 7:30 PM EDT (GMT-4),TBD,https://dukegroups.com/events/rsvp?id=1060342
Duke @ Nite Trivia,"Duke@Nite's regular trivia, in a new online format! Show off your knowledge against your friends and win awesome prizes!This week, we have a collaboration with DukeAFRICA for African Celebrities trivia!! We are bringing back the extremely popular ""guess the song"" audio round, so you have to be there and show off your skills! Grab some friends or play individually and join us on Thursday!",Social,2,DUU Duke @ Nite,"Thu, Apr 1, 2021",9 PM – 10 PM EDT (GMT-4),-,https://dukegroups.com/events/rsvp?id=1063137
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Wed, Mar 31, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051455
Transgender Day of Visibility,"We invite transgender, gender non-conforming, and non-binary folks and our allies to come together for an open space for sharing stories of joy, resistance, gratitude, and solidarity. Bring your poetry, your art, or just yourself to celebrate our beauty, our love, and the gifts we bring to the world.During this event, we will be sharing our Love Letter to Trans Folks at Duke University. For to add your love, affirmations and voice to the letter, please visit the following page: https://studentaffairs.duke.edu/csgd/transgender-day-of-visibilityZoom Info:https://duke.zoom.us/j/98850348382Zoom Meeting ID: 988 5034 8382Hosted by the Center for Sexual and Gender Diversity and the Sexual and Gender Minority Health Program.",Social,2,Center for Sexual and Gender Diversity,"Wed, Mar 31, 2021",5 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1067750
Team Building Activity,Honey Process activity,Social,2,Alpha Pi Omega Sorority Inc.,"Tue, Mar 30, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051876
Fun Femme Night: Latinx Women's Trivia,Join us in collaboration with Mi Gente to celebrate women's heritage month with some fun Latinx/a trivia! Meet some new people and kick back with us!,Social,2,Latinx/a Women's Alliance,"Mon, Mar 29, 2021",7 PM – 8 PM EDT (GMT-4),Zoom,https://dukegroups.com/events/rsvp?id=1060317
Study Hall,Honey Process Activity,Social,2,Alpha Pi Omega Sorority Inc.,"Mon, Mar 29, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051454
March for Babies,"Members of the chapters will carry around baby doll in an effort to raise funds and awareness for health complications related to premature birth in partnership with our national partner, March of Dimes. The purpose of carrying around baby dolls is to create curiosity in other students and members of the Duke community. We will also be running a social media campaign following the ""lives"" of our baby dolls, as well as promote our fundraising efforts.",Social,2,"Phi Beta Sigma Fraternity, Inc.","Mon, Mar 29, 2021 1:00 PM –","Thu, Apr 8, 2021 1:00 PM EDT (GMT-4)",Private Location (register to display),https://dukegroups.com/events/rsvp?id=1060333
GPSG Community Pantry Services,"The GPSG Community Pantry provides food, clothing, household and personal hygiene items to Graduate and Professional students at Duke University. The pantry offers a weekly grocery bag program with contactless pickup and delivery options available. Volunteers come to the GPSG House on Wednesdays after 4PM (grocery store order pickup/drop off), Thursdays 3-7PM (bag packing), and Saturdays 12-2PM (bag pickup/delivery). Pantry patrons come to the GPSG House on Saturday 12-2PM to pick up their bags or in-person shop. The University's COVID-19 guidelines are enforced (e.g., no more than one person/family in the pantry shopping room at a time; social distancing; hand/surface sanitizing). Periodically throughout the week, members of the pantry's Executive Board Team will access the house as necessary to prepare for our services.",Social,2,GPSG Community Pantry,"Mon, Mar 29, 2021",8 AM – 8 PM EDT (GMT-4),GPSG House,https://dukegroups.com/events/rsvp?id=902830
The Kite Runner Virtual Screening with Duke IA!,"Join us for a virtual screening of The Kite Runner at 9pm EST on Saturday, 3/27 in collaboration with Duke International Association! A 2007 drama, the film tells the story of Amir, a well-to-do boy from Kabul who is tormented from the guilt of abandoning his friend Hassan.",Social,2,DUU Freewater Presentations,"Sat, Mar 27, 2021",9 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1058662
Holi 2021!,Distributing sweatshirts and tie dye kits in the spirit of Holi.,Social,2,Duke Diya (South Asian Students Association),"Sat, Mar 27, 2021",1 PM – 5 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1041419
The Missing Picture Virtual Screening with Duke CPM!,"Join us for a virtual screening of The Missing Picture at 9pm on Friday, 3/26 in collaboration with Duke's Coalition for Preserving Memory! A 2013 Cambodian-French documentary, the film reveals the atrocities of Cambodia's Khmer-Rouge through 1975-1979 via animation, archival footage, and clay miniatures.",Social,2,DUU Freewater Presentations,"Fri, Mar 26, 2021",9 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1058655
Glimpses - Rushee Edition,"Woohoo it's our final rush event! After hearing our members talk about their culture at our events, we want to open the floor to the rushees! Please bring an item of personal significance to you or an aspect of your culture to this last Zoom call so both members and rushees can celebrate all of our different backgrounds together!",Social,2,LangDorm,"Fri, Mar 26, 2021",8 PM – 9 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1043058
Social Activity,"Honey Process activity- movie night, spa night, or another social activity",Social,2,Alpha Pi Omega Sorority Inc.,"Fri, Mar 26, 2021",7 PM – 8 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051872
